,Well,Time step,unloading,stable production,restriction on production line,towards stable production
544,W12,1287,1.0,0.0,0.0,0.0
545,W13,2557,0.0,1.0,0.0,0.0
546,W10,1218,1.0,0.0,0.0,0.0
547,W7,3932,0.0,1.0,0.0,0.0
548,W9,1744,0.0,0.0,0.0,1.0
549,W16,4372,0.0,1.0,0.0,0.0
550,W2,562,1.0,0.0,0.0,0.0
551,W12,242,1.0,0.0,0.0,0.0
552,W8,2299,0.0,0.0,1.0,0.0
553,W4,410,1.0,0.0,0.0,0.0
554,W10,1170,1.0,0.0,0.0,0.0
555,W19,4752,0.0,1.0,0.0,0.0
556,W15,1038,1.0,0.0,0.0,0.0
557,W17,1729,0.0,1.0,0.0,0.0
558,W15,835,1.0,0.0,0.0,0.0
559,W9,1135,1.0,0.0,0.0,0.0
560,W17,5264,0.0,1.0,0.0,0.0
561,W8,4315,0.0,0.0,1.0,0.0
562,W17,2235,0.0,1.0,0.0,0.0
563,W15,3637,0.0,1.0,0.0,0.0
564,W17,1956,0.0,1.0,0.0,0.0
565,W3,2482,0.0,1.0,0.0,0.0
566,W4,2103,0.0,0.0,1.0,0.0
567,W8,316,1.0,0.0,0.0,0.0
568,W2,805,1.0,0.0,0.0,0.0
569,W5,1128,1.0,0.0,0.0,0.0
570,W17,1351,0.0,0.0,0.0,1.0
571,W16,1514,0.0,1.0,0.0,0.0
572,W16,4344,0.0,1.0,0.0,0.0
573,W12,1889,0.0,1.0,0.0,0.0
574,W3,4217,0.0,1.0,0.0,0.0
575,W15,2508,0.0,1.0,0.0,0.0
576,W5,2611,0.0,1.0,0.0,0.0
577,W14,272,1.0,0.0,0.0,0.0
578,W7,2347,0.0,1.0,0.0,0.0
579,W8,4882,0.0,0.0,1.0,0.0
